	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58
Mast cells	0.242243333333333	6.66666666671034e-06	0.105716666666667	0.0181033333333334	0.29153	0.150793333333333	0	0.0194233333333333	0.0259833333333334	1	0.117746666666667	1	0	1	0.04767	0.02385	0.00441000000000003	0.18082	0.335593333333333	0.02032	0.0031133333333333	0.0694733333333334	0.0682533333333334	0.00175666666666663	0.31324	0.497	0	0	1	0	0.139276666666667	0.318616666666667	0	0.01008	0.0529366666666666	0.00650666666666666	0	0	0.000373333333333337	0.0621633333333333	0.0326733333333333	1	0.107983333333333	0.117746666666667	0.00175666666666663	1	0.0194233333333333	1	0.0156500000000001	0.01407	1	0.01368	0.02385	0.224476666666667	0.00357666666666667	1	0.0169333333333334	0.0129166666666667
Megakaryocytes	0	0.0997333333333333	0.00391333333333332	0.000133333333333319	0.224413333333333	0.00214999999999999	0.00224999999999997	0.0223466666666666	0	0.12685	0.390293333333333	0	0.0113833333333333	0	0	0.105006666666667	0	0	0	0.00229666666666661	1	0	6.33333333333042e-05	0.149893333333333	0.0599766666666667	0.20149	0	0	0.796526666666667	0.00188999999999995	0.0968966666666666	0.197533333333333	0	0.247233333333333	0.0109166666666667	0	0.00487666666666664	0	0.01542	0	0	0.341143333333333	0.0126433333333333	0	0.667766666666667	0.17762	0.1079	0.0279733333333333	1	0.0101933333333334	0.0242366666666667	0.370586666666667	1	1	0	0.304663333333333	0.0037666666666667	0
Melanocytes	0	0	1	0	0	0	0.03759	0	0.346163333333333	0	0.98376	0	1	0	0.31516	0.0150766666666666	0	0	0.0308233333333333	0.815503333333333	0.168796666666667	0.346163333333333	0.89001	0.10911	0.426426666666667	0.000843333333333307	0.115553333333333	0.158036666666667	0	0	0	0.0752699999999999	0.00453666666666663	0	0.0367766666666667	0	0.171376666666667	0	0	0	0	0	0.674156666666667	0	0	0.724303333333333	0	0	0.14536	0	0	0	0.0648733333333333	0	0.00427666666666671	0.633523333333333	0	0
Memory B-cells	1	1	1	1	1	1	1	1	1	0.0766966666666666	1	0.102556666666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.476816666666667	1	1	0.207766666666667	0.0232133333333333	1	1	1	1	1	1	1	1	1	0.789853333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mesangial cells	0	0	0	0	0	0	0	0	0	0	0	0.41131	0	0	0	1	0	0	1	9.33333333332786e-05	1	0	0	0	0.00054333333333334	0	0	0	0	0	0	1	0	0	4.33333333332842e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99999999995449e-06	0	0	0	1	0	0	0	0.000863333333333327
Monocytes	1	1	0.435123333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.217916666666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.34598	1	1	1	1	1
Myocytes	0.184073333333333	0	0	0	0	0.09777	0	0	0	0	0.00549999999999995	1	0	0	0	0	0	0	0	0	0	1	1	0.000273333333333348	0	0.00509000000000004	0	0	0	0	0	0	0.41389	0	0	0	0	0	0	0.184073333333333	0	1	0	1	0.0081	0	0	0	0	0.0108166666666667	0.000753333333333384	0.0137366666666666	0.352106666666667	0	0	0	0.00863666666666663	0
NK cells	0.493303333333333	0.357716666666667	0.169156666666667	0.194636666666667	0.173346666666667	0.36811	0.750693333333333	0.48558	1	0.523783333333333	0.622276666666667	0.116783333333333	0.288693333333333	0.21703	0.0858633333333333	0.126566666666667	0.00719333333333338	0.04451	0.107386666666667	0.314973333333333	0.117483333333333	0.458943333333333	0.644946666666667	0.25623	1	0.823323333333333	1	0.256903333333333	1	0.131346666666667	0.44654	0.119133333333333	0.301286666666667	0.895653333333333	0.0843133333333334	0	0.363866666666667	0.320236666666667	0.134456666666667	0.633776666666667	0.0301333333333333	1	1	1	1	1	0.549986666666667	1	0.603416666666667	1	1	0.54021	1	1	1	1	0.603416666666667	1
NKT	0.04999	0.104183333333333	1	0.0190233333333333	0	0	0.162073333333333	0	0	0.01105	0.121323333333333	0.0379933333333333	0.0668033333333333	0.05972	0	1	0.188953333333333	0.196203333333333	0	0.469103333333333	0.00842333333333334	0.533573333333333	0.250063333333333	0.34839	0.00511666666666666	0.0531433333333333	0	1	0	0.106513333333333	0	0	0.23072	0.00954999999999995	0.69127	0.95851	0.20807	0.333106666666667	0.16683	0	0.115826666666667	0	0.0563066666666666	0	0	0	0	0	0	0	0	0	0.000343333333333362	0	0	0.000203333333333333	0.241963333333333	0
Neurons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
